id,code,name,x_internal_type,x_parent_id:id,reconcile,user_type_id:id
co_puc_com_134020,134020,DE FLOTA Y EQUIPO A޸REO,other,co_puc_com_1340,FALSE,account.data_account_type_asset
co_puc_com_134025,134025,DE FLOTA Y EQUIPO F޸RREO,other,co_puc_com_1340,FALSE,account.data_account_type_asset
co_puc_com_134030,134030,DE FLOTA Y EQUIPO FLUVIAL Y/O MAR���_TIMO,other,co_puc_com_1340,FALSE,account.data_account_type_asset
co_puc_com_134035,134035,DE SEMOVIENTES,other,co_puc_com_1340,FALSE,account.data_account_type_asset
co_puc_com_134095,134095,DE OTROS BIENES,other,co_puc_com_1340,FALSE,account.data_account_type_asset
co_puc_com_1345,1345,INGRESOS POR COBRAR,view,co_puc_com_13,FALSE,account.data_account_type_receivable
co_puc_com_134505,134505,DIVIDENDOS Y/O PARTICIPACIONES,receivable,co_puc_com_1345,TRUE,account.data_account_type_receivable
co_puc_com_134510,134510,INTERESES,receivable,co_puc_com_1345,TRUE,account.data_account_type_receivable
co_puc_com_134515,134515,COMISIONES,receivable,co_puc_com_1345,TRUE,account.data_account_type_receivable
co_puc_com_134520,134520,HONORARIOS,receivable,co_puc_com_1345,TRUE,account.data_account_type_receivable
co_puc_com_134525,134525,SERVICIOS,receivable,co_puc_com_1345,TRUE,account.data_account_type_receivable
co_puc_com_134530,134530,ARRENDAMIENTOS,receivable,co_puc_com_1345,TRUE,account.data_account_type_receivable
co_puc_com_134535,134535,CERT POR COBRAR,receivable,co_puc_com_1345,TRUE,account.data_account_type_receivable
co_puc_com_134595,134595,OTROS,receivable,co_puc_com_1345,TRUE,account.data_account_type_receivable
co_puc_com_1350,1350,RETENCI���_N SOBRE CONTRATOS,view,co_puc_com_13,FALSE,account.data_account_type_asset
co_puc_com_135005,135005,DE CONSTRUCCI���_N,other,co_puc_com_1350,FALSE,account.data_account_type_asset
co_puc_com_135010,135010,DE PRESTACI���_N DE SERVICIOS,other,co_puc_com_1350,FALSE,account.data_account_type_asset
co_puc_com_135095,135095,OTROS,other,co_puc_com_1350,FALSE,account.data_account_type_asset
co_puc_com_1355,1355,ANTICIPO DE IMPUESTOS Y CONTRIBUCIONES O SALDOS A FAVOR,view,co_puc_com_13,FALSE,account.data_account_type_asset
co_puc_com_135505,135505,ANTICIPO DE IMPUESTOS DE RENTA Y COMPLEMENTARIOS,other,co_puc_com_1355,FALSE,account.data_account_type_asset
co_puc_com_135510,135510,ANTICIPO DE IMPUESTOS DE INDUSTRIA Y COMERCIO,other,co_puc_com_1355,FALSE,account.data_account_type_asset
co_puc_com_135515,135515,RETENCI���_N EN LA FUENTE,other,co_puc_com_1355,FALSE,account.data_account_type_asset
co_puc_com_135517,135517,IMPUESTO A LAS VENTAS RETENIDO,other,co_puc_com_1355,FALSE,account.data_account_type_asset
co_puc_com_135518,135518,IMPUESTO DE INDUSTRIA Y COMERCIO RETENIDO,other,co_puc_com_1355,FALSE,account.data_account_type_asset
co_puc_com_135519,135519,2014 CREE-2015 RTE FTE FIDUCIA,other,co_puc_com_1355,FALSE,account.data_account_type_asset
co_puc_com_135520,135520,SOBRANTES EN LIQUIDACI���_N PRIVADA DE IMPUESTOS,other,co_puc_com_1355,FALSE,account.data_account_type_asset
co_puc_com_135525,135525,CONTRIBUCIONES,other,co_puc_com_1355,FALSE,account.data_account_type_asset
co_puc_com_135530,135530,IMPUESTOS DESCONTABLES,other,co_puc_com_1355,FALSE,account.data_account_type_asset
co_puc_com_135595,135595,OTROS,other,co_puc_com_1355,FALSE,account.data_account_type_asset
co_puc_com_1360,1360,RECLAMACIONES,view,co_puc_com_13,FALSE,account.data_account_type_asset
co_puc_com_136005,136005,A COMPA�񋨫_AS ASEGURADORAS,other,co_puc_com_1360,FALSE,account.data_account_type_asset
co_puc_com_136010,136010,A TRANSPORTADORES,other,co_puc_com_1360,FALSE,account.data_account_type_asset
